01, Math, 24, "ch >> 6 | 0xC0", "ch >> 6 & 0xC0"
02, Math, 24, "ch >> 6", "ch << 6"
03, Math, 25, "ch & 0x3F | 0x80", "ch & 0x3F & 0x80"
04, Math, 25, "ch & 0x3F", "ch | 0x3F"
05, Math, 28, "ch >> 12 | 0xE0", "ch >> 12 & 0xE0"
06, Math, 28, "ch >> 12", "ch << 12"
07, Math, 29, "ch >> 6 & 0x3F | 0x80", "ch >> 6 & 0x3F & 0x80"
08, Math, 29, "ch >> 6 & 0x3F", "ch >> 6 | 0x3F"
09, Math, 29, "ch >> 6", "ch << 6"
10, Math, 30, "ch & 0x3F | 0x80", "ch & 0x3F & 0x80"
11, Math, 30, "ch & 0x3F", "ch | 0x3F"
12, Math, 33, "ch >> 18 | 0xF0", "ch >> 18 & 0xF0"
13, Math, 33, "ch >> 18", "ch << 18"
14, Math, 34, "ch >> 12 & 0x3F | 0x80", "ch >> 12 & 0x3F & 0x80"
15, Math, 34, "ch >> 12 & 0x3F", "ch >> 12 | 0x3F"
16, Math, 34, "ch >> 12", "ch << 12"
17, Math, 35, "ch >> 6 & 0x3F | 0x80", "ch >> 6 & 0x3F & 0x80"
18, Math, 35, "ch >> 6 & 0x3F", "ch >> 6 | 0x3F"
19, Math, 35, "ch >> 6", "ch << 6"
20, Math, 36, "ch & 0x3F | 0x80", "ch & 0x3F & 0x80"
21, Math, 36, "ch & 0x3F", "ch | 0x3F"
22, Increments, 7, "++bytesNeeded", "--bytesNeeded"
23, Increments, 21, "bytes++", "bytes--"
24, Increments, 24, "bytes++", "bytes--"
25, Increments, 25, "bytes++", "bytes--"
26, Increments, 28, "bytes++", "bytes--"
27, Increments, 29, "bytes++", "bytes--"
28, Increments, 30, "bytes++", "bytes--"
29, Increments, 33, "bytes++", "bytes--"
30, Increments, 34, "bytes++", "bytes--"
31, Increments, 35, "bytes++", "bytes--"
32, Increments, 36, "bytes++", "bytes--"
33, NegateConditionals, 6, "ch < 0x80", "ch >= 0x80"
34, NegateConditionals, 9, "ch < 0x0800", "ch >= 0x0800"
35, NegateConditionals, 12, "ch < 0x10000", "ch >= 0x10000"
36, NegateConditionals, 20, "ch < 0x80", "ch >= 0x80"
37, NegateConditionals, 23, "ch < 0x0800", "ch >= 0x0800"
38, NegateConditionals, 27, "ch < 0x10000", "ch >= 0x10000"
39, ConditionalsBoundary, 6, "ch < 0x80", "ch <= 0x80"
40, ConditionalsBoundary, 9, "ch < 0x0800", "ch <= 0x0800"
41, ConditionalsBoundary, 12, "ch < 0x10000", "ch <= 0x10000"
42, ConditionalsBoundary, 20, "ch < 0x80", "ch <= 0x80"
43, ConditionalsBoundary, 23, "ch < 0x0800", "ch <= 0x0800"
44, ConditionalsBoundary, 27, "ch < 0x10000", "ch <= 0x10000"
