01, NegateConditionals, 6, "y != y", "y == y"
02, NegateConditionals, 9, "y == 0", "y != 0"
03, NegateConditionals, 12, "x == 0", "x != 0"
04, NegateConditionals, 13, "1 / x > 0", "1 / x <= 0"
05, NegateConditionals, 14, "y > 0", "y <= 0"
06, NegateConditionals, 18, "y_long == y", "y_long != y"
07, NegateConditionals, 18, "(y_long & 0x1) != 0", "(y_long & 0x1) == 0"
08, NegateConditionals, 19, "y > 0", "y <= 0"
09, NegateConditionals, 22, "y > 0", "y <= 0"
10, NegateConditionals, 28, "result != result", "result == result"
11, NegateConditionals, 29, "y == Double.POSITIVE_INFINITY", "y != Double.POSITIVE_INFINITY"
12, NegateConditionals, 30, "x < -1.0", "x >= -1.0"
13, NegateConditionals, 30, "1.0 < x", "1.0 >= x"
14, NegateConditionals, 33, "-1.0 < x", "-1.0 >= x"
15, NegateConditionals, 33, "x < 1.0", "x >= 1.0"
16, NegateConditionals, 37, "y == Double.NEGATIVE_INFINITY", "y != Double.NEGATIVE_INFINITY"
17, NegateConditionals, 38, "x < -1.0", "x >= -1.0"
18, NegateConditionals, 38, "1.0 < x", "1.0 >= x"
19, NegateConditionals, 41, "-1.0 < x", "-1.0 >= x"
20, NegateConditionals, 41, "x < 1.0", "x >= 1.0"
21, NegateConditionals, 45, "x == Double.POSITIVE_INFINITY", "x != Double.POSITIVE_INFINITY"
22, NegateConditionals, 46, "y > 0", "y <= 0"
23, NegateConditionals, 48, "x == Double.NEGATIVE_INFINITY", "x != Double.NEGATIVE_INFINITY"
24, NegateConditionals, 50, "y_long == y", "y_long != y"
25, NegateConditionals, 50, "(y_long & 0x1) != 0", "(y_long & 0x1) == 0"
26, NegateConditionals, 51, "y > 0", "y <= 0"
27, NegateConditionals, 54, "y > 0", "y <= 0"
28, ConditionalsBoundary, 13, "1 / x > 0", "1 / x >= 0"
29, ConditionalsBoundary, 14, "y > 0", "y >= 0"
30, ConditionalsBoundary, 19, "y > 0", "y >= 0"
31, ConditionalsBoundary, 22, "y > 0", "y >= 0"
32, ConditionalsBoundary, 30, "x < -1.0", "x <= -1.0"
33, ConditionalsBoundary, 30, "1.0 < x", "1.0 <= x"
34, ConditionalsBoundary, 33, "-1.0 < x", "-1.0 <= x"
35, ConditionalsBoundary, 33, "x < 1.0", "x <= 1.0"
36, ConditionalsBoundary, 38, "x < -1.0", "x <= -1.0"
37, ConditionalsBoundary, 38, "1.0 < x", "1.0 <= x"
38, ConditionalsBoundary, 41, "-1.0 < x", "-1.0 <= x"
39, ConditionalsBoundary, 41, "x < 1.0", "x <= 1.0"
40, ConditionalsBoundary, 46, "y > 0", "y >= 0"
41, ConditionalsBoundary, 51, "y > 0", "y >= 0"
42, ConditionalsBoundary, 54, "y > 0", "y >= 0"
43, InvertNegatives, 19, "-0.0", "0.0"
44, InvertNegatives, 30, "-1.0", "1.0"
45, InvertNegatives, 33, "-1.0", "1.0"
46, InvertNegatives, 38, "-1.0", "1.0"
47, InvertNegatives, 41, "-1.0", "1.0"
48, InvertNegatives, 51, "-0.0", "0.0"
49, Math, 13, "1 / x", "1 * x"
50, Math, 18, "y_long & 0x1", "y_long | 0x1"
51, Math, 50, "y_long & 0x1", "y_long | 0x1"
