01, NegateConditionals, 6, "sub == 0", "sub != 0"
02, NegateConditionals, 7, "i < (ind.length - 1)", "i >= (ind.length - 1)"
03, NegateConditionals, 11, "sub == ind.length", "sub != ind.length"
04, NegateConditionals, 12, "i < (ind.length - 1)", "i >= (ind.length - 1)"
05, NegateConditionals, 17, "i < sub", "i >= sub"
06, NegateConditionals, 20, "i < (ind.length - 1)", "i >= (ind.length - 1)"
07, Increments, 7, "i++", "i--"
08, Increments, 12, "i++", "i--"
09, Increments, 17, "i++", "i--"
10, Increments, 20, "i++", "i--"
11, Math, 5, "ind.length - 1", "ind.length + 1"
12, Math, 7, "ind.length - 1", "ind.length + 1"
13, Math, 8, "i + 1", "i - 1"
14, Math, 12, "ind.length - 1", "ind.length + 1"
15, Math, 20, "ind.length - 1", "ind.length + 1"
16, Math, 21, "i + 1", "i - 1"
17, ConditionalsBoundary, 7, "i < (ind.length - 1)", "i <= (ind.length - 1)"
18, ConditionalsBoundary, 12, "i < (ind.length - 1)", "i <= (ind.length - 1)"
19, ConditionalsBoundary, 17, "i < sub", "i <= sub"
20, ConditionalsBoundary, 20, "i < (ind.length - 1)", "i <= (ind.length - 1)"
