001, NegateConditionals, 5, "d == 0x0000", "d != 0x0000"
002, NegateConditionals, 8, "d == 0x0100", "d != 0x0100"
003, NegateConditionals, 8, "m == 0x00", "m != 0x00"
004, NegateConditionals, 11, "d == 0x0100", "d != 0x0100"
005, NegateConditionals, 11, "m == 0x04", "m != 0x04"
006, NegateConditionals, 14, "d == 0x0100", "d != 0x0100"
007, NegateConditionals, 14, "m == 0x08", "m != 0x08"
008, NegateConditionals, 17, "d == 0x0100", "d != 0x0100"
009, NegateConditionals, 17, "m == 0x0C", "m != 0x0C"
010, NegateConditionals, 20, "d == 0x0100", "d != 0x0100"
011, NegateConditionals, 20, "m == 0x10", "m != 0x10"
012, NegateConditionals, 23, "d == 0x0100", "d != 0x0100"
013, NegateConditionals, 23, "m == 0x14", "m != 0x14"
014, NegateConditionals, 26, "d == 0x0100", "d != 0x0100"
015, NegateConditionals, 26, "m == 0x18", "m != 0x18"
016, NegateConditionals, 29, "d == 0x0200", "d != 0x0200"
017, NegateConditionals, 29, "m == 0x00", "m != 0x00"
018, NegateConditionals, 32, "d == 0x0200", "d != 0x0200"
019, NegateConditionals, 32, "m == 0x04", "m != 0x04"
020, NegateConditionals, 38, "d == 0x0200", "d != 0x0200"
021, NegateConditionals, 38, "m == 0x0C", "m != 0x0C"
022, NegateConditionals, 41, "d == 0x0200", "d != 0x0200"
023, NegateConditionals, 41, "m == 0x10", "m != 0x10"
024, NegateConditionals, 44, "d == 0x0200", "d != 0x0200"
025, NegateConditionals, 44, "m == 0x14", "m != 0x14"
026, NegateConditionals, 47, "d == 0x0300", "d != 0x0300"
027, NegateConditionals, 47, "m == 0x00", "m != 0x00"
028, NegateConditionals, 50, "d == 0x0300", "d != 0x0300"
029, NegateConditionals, 50, "m == 0x20", "m != 0x20"
030, NegateConditionals, 53, "d == 0x0300", "d != 0x0300"
031, NegateConditionals, 53, "m == 0x40", "m != 0x40"
032, NegateConditionals, 56, "d == 0x0300", "d != 0x0300"
033, NegateConditionals, 56, "m == 0x60", "m != 0x60"
034, NegateConditionals, 59, "d == 0x0300", "d != 0x0300"
035, NegateConditionals, 59, "m == 0x80", "m != 0x80"
036, NegateConditionals, 62, "d == 0x0300", "d != 0x0300"
037, NegateConditionals, 65, "d == 0x0300", "d != 0x0300"
038, NegateConditionals, 65, "m == 0xC0", "m != 0xC0"
039, NegateConditionals, 68, "d == 0x0300", "d != 0x0300"
040, NegateConditionals, 68, "m == 0xE0", "m != 0xE0"
041, NegateConditionals, 71, "d == 0x0400", "d != 0x0400"
