001, Math, 60, ""Uncategorized(" + m + ")"", ""Uncategorized(" - m - ")""
002, Math, 61, ""UnknownMinorDevice(" + m + ")"", ""UnknownMinorDevice(" - m - ")""
003, NegateConditionals, 5, "d == 0x0000", "d != 0x0000"
004, NegateConditionals, 6, "d == 0x0100", "d != 0x0100"
005, NegateConditionals, 6, "m == 0x00", "m != 0x00"
006, NegateConditionals, 7, "d == 0x0100", "d != 0x0100"
007, NegateConditionals, 7, "m == 0x04", "m != 0x04"
008, NegateConditionals, 8, "d == 0x0100", "d != 0x0100"
009, NegateConditionals, 8, "m == 0x08", "m != 0x08"
010, NegateConditionals, 9, "d == 0x0100", "d != 0x0100"
011, NegateConditionals, 9, "m == 0x0C", "m != 0x0C"
012, NegateConditionals, 10, "d == 0x0100", "d != 0x0100"
013, NegateConditionals, 10, "m == 0x10", "m != 0x10"
014, NegateConditionals, 11, "d == 0x0100", "d != 0x0100"
015, NegateConditionals, 11, "m == 0x14", "m != 0x14"
016, NegateConditionals, 12, "d == 0x0100", "d != 0x0100"
017, NegateConditionals, 12, "m == 0x18", "m != 0x18"
018, NegateConditionals, 13, "d == 0x0200", "d != 0x0200"
019, NegateConditionals, 13, "m == 0x00", "m != 0x00"
020, NegateConditionals, 15, "d == 0x0200", "d != 0x0200"
021, NegateConditionals, 15, "m == 0x08", "m != 0x08"
022, NegateConditionals, 16, "d == 0x0200", "d != 0x0200"
023, NegateConditionals, 16, "m == 0x0C", "m != 0x0C"
024, NegateConditionals, 17, "d == 0x0200", "d != 0x0200"
025, NegateConditionals, 17, "m == 0x10", "m != 0x10"
026, NegateConditionals, 18, "d == 0x0200", "d != 0x0200"
027, NegateConditionals, 18, "m == 0x14", "m != 0x14"
028, NegateConditionals, 19, "d == 0x0300", "d != 0x0300"
029, NegateConditionals, 19, "m == 0x00", "m != 0x00"
030, NegateConditionals, 20, "d == 0x0300", "d != 0x0300"
031, NegateConditionals, 20, "m == 0x20", "m != 0x20"
032, NegateConditionals, 21, "d == 0x0300", "d != 0x0300"
033, NegateConditionals, 21, "m == 0x40", "m != 0x40"
034, NegateConditionals, 22, "d == 0x0300", "d != 0x0300"
035, NegateConditionals, 22, "m == 0x60", "m != 0x60"
036, NegateConditionals, 23, "d == 0x0300", "d != 0x0300"
037, NegateConditionals, 24, "d == 0x0300", "d != 0x0300"
038, NegateConditionals, 24, "m == 0xA0", "m != 0xA0"
039, NegateConditionals, 25, "d == 0x0300", "d != 0x0300"
040, NegateConditionals, 25, "m == 0xC0", "m != 0xC0"
041, NegateConditionals, 26, "d == 0x0300", "d != 0x0300"
042, NegateConditionals, 26, "m == 0xE0", "m != 0xE0"
043, NegateConditionals, 27, "d == 0x0400", "d != 0x0400"
044, NegateConditionals, 27, "m == 0x00", "m != 0x00"
045, NegateConditionals, 28, "d == 0x0400", "d != 0x0400"
046, NegateConditionals, 28, "m == 0x04", "m != 0x04"
047, NegateConditionals, 29, "d == 0x0400", "d != 0x0400"
