01, VoidMethodCalls, 19, "Arrays.sort(vals);
", "DELETED"
02, Math, 30, "(vals.length - 1) * q", "(vals.length - 1) / q"
03, Math, 30, "vals.length - 1", "vals.length + 1"
04, Math, 31, "(vals.length - 1) * q", "(vals.length - 1) / q"
05, Math, 31, "vals.length - 1", "vals.length + 1"
06, Math, 32, "(vals[ind1] + vals[ind2]) / (double)2", "(vals[ind1] + vals[ind2]) * (double)2"
07, Math, 32, "vals[ind1] + vals[ind2]", "vals[ind1] - vals[ind2]"
08, ConditionalsBoundary, 7, "qInd < qs.length", "qInd <= qs.length"
09, ConditionalsBoundary, 13, "qInd < qs.length", "qInd <= qs.length"
10, ConditionalsBoundary, 22, "qInd < qs.length", "qInd <= qs.length"
11, ConditionalsBoundary, 24, "q > 1", "q >= 1"
12, ConditionalsBoundary, 27, "q < 0", "q <= 0"
13, NegateConditionals, 6, "values.length == 0", "values.length != 0"
14, NegateConditionals, 7, "qInd < qs.length", "qInd >= qs.length"
15, NegateConditionals, 12, "values.length == 1", "values.length != 1"
16, NegateConditionals, 13, "qInd < qs.length", "qInd >= qs.length"
17, NegateConditionals, 22, "qInd < qs.length", "qInd >= qs.length"
18, NegateConditionals, 24, "q > 1", "q <= 1"
19, NegateConditionals, 27, "q < 0", "q >= 0"
20, Increments, 7, "qInd++", "qInd--"
21, Increments, 13, "qInd++", "qInd--"
22, Increments, 22, "qInd++", "qInd--"
